Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),GSHPCLG:Heat Pump Electric Power [W](Daily),GSHPCLG:Heat Pump Source Side Inlet Temperature [C](Daily),GSHPHEATING:Heat Pump Electric Power [W](Daily),GSHPHEATING:Heat Pump Source Side Inlet Temperature [C](Daily) ,THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily)
 04/26,7.219791667,5.422635169,79.05555556,3.251736111,111.3541667,302.8055556,98.59722222,141.6388889,1.535472061,0,13.21513035,0,13.21513035,13.78565717
 04/27,7.066666667,4.391323506,70.29513889,3.112847222,68.125,285.1701389,68.22800926,293.7175926,1.469888631,0,13.2215074,0,13.2215074,13.96865238
 04/28,7.349652778,4.647112648,69.44097222,1.536111111,103.1944444,285.8090278,109.5752315,163.4490741,0.725352739,0,13.22788506,0,13.22788506,13.8240528
 04/29,6.706944444,5.552133428,84.88888889,4.921875,132.1875,307.1527778,92.16898148,2.75,2.32411281,0,13.23426452,0,13.23426452,12.71798365
 04/30,6.633333333,5.29224635,82.63888889,6.506944444,46.97916667,315.8888889,104.3761574,15.04166667,3.072583708,0,13.24064595,0,13.24064595,12.05117534
 05/01,10.96284722,8.593951506,74.28472222,4.837847222,295.0347222,320.3645833,87.39583333,187.7083333,2.284434835,27.88269602,13.25309472,0,13.25309472,14.21361733
 05/02,8.754861111,4.823277186,54.73263889,4.846527778,330.2430556,301.6944444,130.1851852,100.1666667,2.288533799,59.53375885,13.27041076,0,13.27041076,16.06375069
 05/03,7.979861111,4.404624864,58.56597222,2.528819444,178.6458333,293.2256944,135.6111111,119.0416667,1.194110307,57.09359249,13.28071722,0,13.28071722,16.05307772
 05/04,7.569791667,3.68398655,56.85416667,1.958333333,52.08333333,281.2013889,144.6631944,102.6666667,0.924726367,53.90029605,13.28837706,0,13.28837706,15.99105945
 05/05,9.420833333,5.651553749,59.3125,3.786458333,95.76388889,299.7569444,105.0659722,215.2083333,1.787968268,30.51667608,13.29051526,0,13.29051526,15.86992938
 05/06,9.440277778,5.431622225,55.48958333,3.216666667,56.70138889,298.9444444,80.51388889,274.9166667,1.518912245,39.43907023,13.29747103,0,13.29747103,16.26712397
 05/07,8.333680556,5.471548483,68.54861111,4.385069444,41.35416667,292.7430556,107.6319444,195.75,2.070632852,70.74220767,13.31177641,0,13.31177641,16.71191226
 05/08,9.204513889,6.243986322,68.51388889,6.445486111,37.74305556,300.7916667,125.9479167,159.5416667,3.04356304,70.88118101,13.32197969,0,13.32197969,16.57374579
 05/09,10.59583333,7.946471667,71.59722222,7.7625,37.39583333,317,122.6041667,111.5416667,3.665457918,61.13109871,13.3277978,0,13.3277978,16.29673533
 05/10,12.49930556,11.26989592,87.56944444,4.653125,47.43055556,342.3784722,110.9930556,79.25,2.197208873,62.62442386,13.33475889,0,13.33475889,16.38078285
 05/11,14.05659722,11.21227181,74.43055556,6.317708333,39.16666667,330.7326389,106.8310185,214.7916667,2.983226285,84.47117829,13.34688383,0,13.34688383,17.10779812
 05/12,12.89965278,10.18464458,73.76041667,5.953125,36.00694444,332.9340278,105.8726852,162.5833333,2.81106978,53.6616083,13.3492758,0,13.3492758,16.89779387
 05/13,9.597916667,7.822571902,80.09027778,3.479513889,88.26388889,321.7222222,107.7418981,121.4166667,1.643028887,37.50779583,13.35017887,0,13.35017887,16.36914284
 05/14,10.01284722,7.782972695,75.06944444,5.136805556,194.4444444,319.7048611,137.505787,65.70833333,2.425603169,69.92435764,13.36242959,0,13.36242959,16.59186886
 05/15,8.498611111,4.461034656,55.76736111,5.946875,226.8402778,293.46875,135,148.7916667,2.808118526,57.76063099,13.36860163,0,13.36860163,16.09584055
 05/16,9.658333333,8.194203049,83.02777778,6.2125,184.5138889,322.65625,110.4027778,57.66666667,2.933546836,48.1284266,13.37308932,0,13.37308932,15.67030648
 05/17,14.91875,12.72479231,79.06944444,6.638541667,162.0833333,348.6388889,142.3402778,29.66666667,3.134724008,59.49565892,13.38123226,0,13.38123226,15.98063586
 05/18,11.42465278,8.09124459,65.99652778,4.032291667,183.9583333,309.2916667,112.3287037,204.3333333,1.904050939,73.06709119,13.39206055,0,13.39206055,16.57383604
 05/19,11.37083333,8.150152386,67.47569444,1.946875,216.1805556,312.3506944,131.4814815,178.2083333,0.919315734,41.91613801,13.39322559,0,13.39322559,16.40687316
 05/20,8.522222222,7.245298181,84.13194444,3.220486111,318.5069444,315.5208333,103.0925926,2.416666667,1.520715789,27.71549367,13.39424937,0,13.39424937,15.70641991
 05/21,10.63402778,8.163104808,74.20833333,3.135763889,250.625,321.1423611,144.724537,90.625,1.480709897,46.0656193,13.40184774,0,13.40184774,15.64393005
 05/22,12.05347222,9.409152026,73.78472222,2.445833333,151.6319444,315.0104167,148.625,36.91666667,1.154924207,68.85936409,13.41459759,0,13.41459759,16.44447499
 05/23,15.08368056,11.31717589,65.82986111,4.135069444,93.09027778,340.7256944,143.2430556,63.75,1.952582678,78.883568,13.42554416,0,13.42554416,16.98438038
 05/24,16.72569444,12.87174129,67.13888889,4.454513889,73.26388889,343.1180556,152.1597222,53.375,2.103424567,97.92655508,13.43836327,0,13.43836327,17.62468566
 05/25,12.28541667,10.27153401,79.74305556,5.449652778,59.16666667,337.2881944,127.1527778,20.875,2.573329845,88.6180833,13.4453936,0,13.4453936,17.36178581
 05/26,10.00243056,8.915499092,87.33333333,6.106944444,48.50694444,332.9201389,105.7361111,2.291666667,2.883703429,18.76560742,13.43562525,0,13.43562525,15.46163924
 05/27,9.997222222,9.214877951,90.86805556,3.271527778,46.52777778,330.5,106.1076389,2.291666667,1.5448177,5.804975208,13.43196611,0,13.43196611,14.60704047
 05/28,10.89756944,9.384892112,84.03819444,3.075694444,170.5902778,319.9861111,150.8958333,46.16666667,1.452345063,40.24147643,13.44179428,0,13.44179428,15.25202642
 05/29,12.81770833,10.60195394,78.57638889,3.407291667,179.4791667,321.2673611,140.90625,114.6666667,1.608925503,66.90872934,13.4557485,0,13.4557485,16.27239552
 05/30,12.54618056,10.71509285,80.66319444,6.645486111,194.6180556,338.0034722,138.8020833,28.04166667,3.13800318,72.53609503,13.46617167,0,13.46617167,16.60881737
 05/31,13.22638889,9.145237191,60.64583333,6.497569444,237.0833333,317.9652778,125.4513889,221.125,3.068156827,76.12316659,13.47428759,0,13.47428759,16.75052708
 06/01,13.46354167,11.99389656,85.71180556,3.120833333,151.5277778,341.7743056,129.8310185,55.25,1.473659678,89.52142765,13.48489375,0,13.48489375,17.44873935
 06/02,12.62430556,10.63600118,79.96180556,2.652083333,199.0625,331.2048611,152.0740741,74.58333333,1.252315601,60.4236543,13.48610476,0,13.48610476,17.00509788
 06/03,12.99375,11.57972163,85.29513889,2.834375,162.8472222,334.5590278,150.1990741,29.75,1.338393853,45.75268717,13.48643534,0,13.48643534,16.44930258
 06/04,14.48854167,11.6535247,73.35416667,2.682638889,206.5625,330.8888889,162.9224537,67.5,1.266743956,91.7372751,13.50071975,0,13.50071975,17.37915928
 06/05,13.30590278,10.91443004,76.16666667,4.739236111,39.79166667,340.2708333,130.0393519,151.875,2.237870599,119.4470295,13.51701438,0,13.51701438,18.34257985
