Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wetbulb Temperature [C](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily) 
 08/12,16.96736111,74.12847222,3.2,237.2569444,350.3194444,125.0196759,113.5,13.90577696,1.511042233,21.44141421
 08/13,17.03368056,74.46527778,3.807986111,330.8333333,341.5729167,114.2361111,165.4166667,14.04511868,1.7981337,22.37402144
 08/14,15.86284722,83.55902778,2.094444444,140.3819444,358.0277778,106.2569444,13.95833333,14.0967005,0.988998129,22.05815713
 08/15,17.01631944,73.89930556,1.270833333,111.9097222,345.5972222,90.32291667,207.7083333,13.83856765,0.600088387,22.34509411
 08/16,18.01944444,68.00347222,1.949305556,190.4861111,337.4340278,87.89583333,218.4166667,13.84265805,0.920463444,23.20478692
 08/17,18.98263889,68.69791667,2.035416667,209.0972222,349.0555556,106.4236111,159.4166667,14.96590208,0.961125171,22.58257072
 08/18,22.03298611,53.47569444,4.071180556,176.7361111,360.4166667,86.21527778,246.7916667,15.26309413,1.9224143,22.83713126
 08/19,22.85034722,53.03472222,2.877430556,182.7777778,372.9548611,71.17361111,277.7916667,15.99393792,1.358724717,24.64208424
 08/20,19.16180556,78.22569444,1.859027778,291.7708333,357.8402778,117.5219907,21.75,16.57732512,0.877834214,24.18372911
 08/21,18.45416667,67.71180556,2.607291667,242.7777778,358.4444444,94.48263889,200.1666667,14.50143423,1.231164945,23.22459094
 08/22,15.50763889,73.60416667,4.225694444,182.1875,339.8090278,116.5138889,90.83333333,12.40838176,1.995375866,22.55916132
 08/23,14.83055556,87.80902778,4.017013889,173.2291667,353.3958333,112.59375,96.08333333,13.55044162,1.896836762,21.31462857
 08/24,14.73715278,83.15277778,4.736458333,217.3263889,344.5798611,119.7581019,29.54166667,12.98859198,2.236558931,19.40761956
 08/25,14.76909722,79.04513889,4.010069444,233.5763889,342.0243056,119.962963,42,12.58015813,1.893557591,18.82787923
